"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Markdown", "Properties", "TypeScript JSX", "Ignore", "CSS", "Java", "comment", "blank", "total"
"h:\cursor\for_fun\genarate-svg - vercel\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"h:\cursor\for_fun\genarate-svg - vercel\.env", "Properties", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 7, 3, 19
"h:\cursor\for_fun\genarate-svg - vercel\.eslintrc.json", "JSON with Comments", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"h:\cursor\for_fun\genarate-svg - vercel\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"h:\cursor\for_fun\genarate-svg - vercel\components.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"h:\cursor\for_fun\genarate-svg - vercel\next.config.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 32
"h:\cursor\for_fun\genarate-svg - vercel\next.config.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"h:\cursor\for_fun\genarate-svg - vercel\package-lock.json", "JSON", 0, 0, 0, 15002, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15003
"h:\cursor\for_fun\genarate-svg - vercel\package.json", "JSON", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101
"h:\cursor\for_fun\genarate-svg - vercel\pom.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"h:\cursor\for_fun\genarate-svg - vercel\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"h:\cursor\for_fun\genarate-svg - vercel\public\file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"h:\cursor\for_fun\genarate-svg - vercel\public\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"h:\cursor\for_fun\genarate-svg - vercel\public\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"h:\cursor\for_fun\genarate-svg - vercel\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"h:\cursor\for_fun\genarate-svg - vercel\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"h:\cursor\for_fun\genarate-svg - vercel\public\window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"h:\cursor\for_fun\genarate-svg - vercel\src\app.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 481, 0, 0, 0, 19, 39, 539
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(dashboard)\community\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 501, 0, 0, 0, 11, 44, 556
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(dashboard)\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 410, 0, 0, 0, 15, 27, 452
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(dashboard)\editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(dashboard)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 2, 5, 48
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(dashboard)\my-svgs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 729, 0, 0, 0, 59, 65, 853
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(dashboard)\studio\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(dashboard)\studio\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 781, 0, 0, 0, 35, 55, 871
"h:\cursor\for_fun\genarate-svg - vercel\src\app\(dashboard)\svg-editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 880, 0, 0, 0, 70, 94, 1044
"h:\cursor\for_fun\genarate-svg - vercel\src\app\403\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"h:\cursor\for_fun\genarate-svg - vercel\src\app\admin\feedback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 9, 25, 314
"h:\cursor\for_fun\genarate-svg - vercel\src\app\admin\svgs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 375, 0, 0, 0, 9, 31, 415
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\admin-svg\[id]\route.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 106, 19, 239
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\admin-svg\route.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 66, 13, 140
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\auth\admin\route.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\chat\clear\route.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 43, 4, 64
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\community\[id]\like\route.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 43, 10, 119
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\community\[id]\share\route.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 37, 9, 93
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\community\route.ts", "TypeScript", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 50, 13, 169
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\dashboard\recent-edits\route.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 86
